ordre 100
E 45 38
E 51 32
E 71 34
E 87 9
E 56 53
E 78 35
E 11 6
E 76 24
E 53 36
E 48 98
E 2 67
E 63 73
E 13 37
E 29 21
E 54 37
E 15 92
E 83 79
E 76 55
E 73 12
E 56 45
E 60 7
E 82 74
E 27 66
E 67 92
E 50 84
E 94 33
E 53 98
E 92 65
E 55 81
E 78 36
E 40 15
E 74 68
E 60 16
E 29 26
E 3 26
E 18 42
E 0 77
E 70 46
E 53 16
E 44 73
E 44 32
E 82 52
E 81 0
E 19 17
E 94 24
E 64 65
E 1 36
E 41 34
E 75 93
E 25 34
E 64 29
E 64 72
E 75 66
E 49 81
E 64 32
E 57 35
E 48 64
E 96 97
E 15 9
E 69 95
E 9 65
E 51 34
E 83 53
E 48 32
E 72 12
E 94 43
E 30 74
E 6 98
E 63 68
E 49 32
E 29 62
E 44 0
E 40 12
E 87 98
E 11 50
E 85 4
E 43 21
E 64 13
E 42 57
E 60 72
E 58 51
E 10 54
E 99 78
E 99 12
E 85 13
E 5 77
E 86 35
E 77 65
E 92 62
E 36 62
E 68 73
E 58 68
E 76 32
E 78 44
E 60 64
E 75 50
E 17 0
E 39 31
E 15 29
E 93 62
E 92 35
E 48 90
E 16 89
E 4 45
E 43 32
E 16 45
E 86 69
E 16 57
E 71 10
E 28 43
E 67 16
E 33 12
E 91 81
E 23 72
E 86 17
E 4 34
E 82 37
E 68 52
E 69 36
E 59 76
E 2 63
E 60 14
E 3 44
E 25 58
E 88 21
E 42 62
E 25 42
E 30 86
E 56 4
E 98 7
E 36 26
E 63 5
E 79 84
E 50 97
E 42 1
E 1 50
E 67 89
E 27 10
E 48 97
E 69 21
E 58 44
E 83 76
E 80 74
E 19 51
E 23 77
E 71 55
E 16 35
E 4 89
E 81 33
E 64 95
E 69 77
E 73 37
E 59 89
E 2 43
E 19 88
E 53 42
E 67 10
E 96 24
E 71 38
E 80 61
E 34 33
E 82 16
E 25 86
E 25 95
E 75 39
E 19 39
E 4 77
E 83 30
E 18 47
E 45 36
E 66 88
E 28 68
E 85 14
E 30 17
E 30 41
E 39 35
E 67 47
E 43 0
E 4 42
E 58 7
E 1 84
E 44 21
E 7 37
E 81 32
E 84 31
E 84 38
E 90 52
E 22 34
E 20 52
E 81 54
E 4 51
E 85 23
E 27 1
E 94 79
E 18 33
E 41 66
E 91 51
E 42 44
E 0 61
E 15 76
E 60 1
E 82 48
E 75 70
E 57 12
E 6 72
E 85 97
E 70 72
E 55 5
E 57 61
E 85 54
E 48 51
E 66 8
E 6 57
E 86 61
E 69 38
E 19 32
E 50 8
E 70 61
E 19 1
E 71 98
E 59 54
E 86 3
E 18 3
E 90 74
E 56 1
E 91 59
E 71 78
E 74 9
E 76 37
E 86 42
E 66 72
E 82 35
E 29 39
E 90 61
